source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009966,regulation of signal transduction,8.613575562406294e-39,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3034,107,77,21026,0.719626168224299,0.025379037574159526,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,1.297108802469732e-38,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",3288,107,79,21026,0.7383177570093458,0.02402676399026764,query_1,"['GO:0009893', 'GO:0043170', 'GO:0060255']"
GO:BP,GO:0051239,regulation of multicellular organismal process,1.7926693900015797e-38,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,107,76,21026,0.7102803738317757,0.02571041948579161,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:1901701,cellular response to oxygen-containing compound,9.723563712912425e-38,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",1182,107,55,21026,0.514018691588785,0.046531302876480544,query_1,"['GO:0070887', 'GO:1901700']"
GO:BP,GO:0008284,positive regulation of cell population proliferation,2.1028831391652953e-37,True,"""Any process that activates or increases the rate or extent of cell proliferation."" [GOC:go_curators]",954,107,51,21026,0.4766355140186916,0.05345911949685535,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048522']"
KEGG,KEGG:04218,Cellular senescence,2.287008124139978e-37,True,Cellular senescence,155,104,37,8484,0.3557692307692308,0.23870967741935484,query_1,['KEGG:00000']
GO:BP,GO:0043069,negative regulation of programmed cell death,3.0424392961261556e-37,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",905,107,50,21026,0.4672897196261682,0.055248618784530384,query_1,"['GO:0012501', 'GO:0043067', 'GO:0048523']"
GO:BP,GO:0050793,regulation of developmental process,4.639010571762061e-37,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2457,107,70,21026,0.6542056074766355,0.02849002849002849,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0023051,regulation of signaling,6.442511224333673e-37,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3478,107,79,21026,0.7383177570093458,0.022714203565267394,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0010646,regulation of cell communication,7.338180863177792e-37,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3486,107,79,21026,0.7383177570093458,0.022662076878944348,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0043066,negative regulation of apoptotic process,9.82865381897255e-37,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",874,107,49,21026,0.45794392523364486,0.05606407322654462,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']"
KEGG,KEGG:05161,Hepatitis B,1.1063655377870572e-36,True,Hepatitis B,162,104,37,8484,0.3557692307692308,0.22839506172839505,query_1,['KEGG:00000']
GO:BP,GO:0048584,positive regulation of response to stimulus,2.6787109121291143e-36,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,107,68,21026,0.6355140186915887,0.02917202917202917,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0006950,response to stress,2.7690941926954297e-36,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,107,82,21026,0.7663551401869159,0.02077001013171226,query_1,['GO:0050896']
KEGG,KEGG:05210,Colorectal cancer,1.1948303628295925e-35,True,Colorectal cancer,86,104,30,8484,0.28846153846153844,0.3488372093023256,query_1,['KEGG:00000']
KEGG,KEGG:04068,FoxO signaling pathway,1.1948303628295925e-35,True,FoxO signaling pathway,131,104,34,8484,0.3269230769230769,0.2595419847328244,query_1,['KEGG:00000']
GO:BP,GO:1901698,response to nitrogen compound,7.083149053118439e-35,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",1080,107,51,21026,0.4766355140186916,0.04722222222222222,query_1,['GO:0042221']
GO:BP,GO:0048583,regulation of response to stimulus,8.526144148214755e-35,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,107,81,21026,0.7570093457943925,0.0202854996243426,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0097190,apoptotic signaling pathway,1.5593847686526512e-34,True,"""The series of molecular signals which triggers the apoptotic death of a cell. The pathway starts with reception of a signal, and ends when the execution phase of apoptosis is triggered."" [GOC:mtg_apoptosis]",606,107,42,21026,0.3925233644859813,0.06930693069306931,query_1,"['GO:0006915', 'GO:0007165']"
GO:BP,GO:0051246,regulation of protein metabolic process,2.411149058452278e-34,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1855,107,61,21026,0.5700934579439252,0.03288409703504043,query_1,"['GO:0019538', 'GO:0060255', 'GO:0080090']"
KEGG,KEGG:05163,Human cytomegalovirus infection,3.162531749306741e-34,True,Human cytomegalovirus infection,223,104,39,8484,0.375,0.17488789237668162,query_1,['KEGG:00000']
KEGG,KEGG:01522,Endocrine resistance,3.162531749306741e-34,True,Endocrine resistance,95,104,30,8484,0.28846153846153844,0.3157894736842105,query_1,['KEGG:00000']
REAC,REAC:R-HSA-1643685,Disease,3.616774978033285e-34,True,Disease,1843,102,75,11004,0.7352941176470589,0.040694519804666304,query_1,['REAC:0000000']
GO:BP,GO:0045597,positive regulation of cell differentiation,3.963083110050621e-34,True,"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",879,107,47,21026,0.4392523364485981,0.053469852104664393,query_1,"['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']"
GO:BP,GO:0051094,positive regulation of developmental process,7.839693941950104e-34,True,"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",1343,107,54,21026,0.5046728971962616,0.040208488458674606,query_1,"['GO:0032502', 'GO:0048518', 'GO:0050793']"
GO:BP,GO:0048522,positive regulation of cellular process,1.2297171841600147e-33,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5920,107,92,21026,0.8598130841121495,0.015540540540540541,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0060284,regulation of cell development,1.2896313541711188e-33,True,"""Any process that modulates the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate."" [GOC:dph, GOC:tb]",847,107,46,21026,0.42990654205607476,0.05430932703659976,query_1,"['GO:0045595', 'GO:0048468']"
GO:BP,GO:0071495,cellular response to endogenous stimulus,1.560837061587936e-33,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1223,107,52,21026,0.48598130841121495,0.04251839738348324,query_1,['GO:0009719']
GO:BP,GO:0042221,response to chemical,2.3063730983633112e-33,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3909,107,79,21026,0.7383177570093458,0.020209772320286517,query_1,['GO:0050896']
GO:BP,GO:0007165,signal transduction,3.6455797887277194e-33,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6002,107,92,21026,0.8598130841121495,0.015328223925358214,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0010647,positive regulation of cell communication,5.762580352338375e-33,True,"""Any process that increases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1795,107,59,21026,0.5514018691588785,0.03286908077994429,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048522']"
GO:BP,GO:0023056,positive regulation of signaling,5.798764377953388e-33,True,"""Any process that activates, maintains or increases the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1796,107,59,21026,0.5514018691588785,0.03285077951002227,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048518']"
GO:BP,GO:0048518,positive regulation of biological process,9.195915387309939e-33,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,107,93,21026,0.8691588785046729,0.014846743295019157,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0009967,positive regulation of signal transduction,1.2971126023833034e-32,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction."" [GOC:sm]",1578,107,56,21026,0.5233644859813084,0.035487959442332066,query_1,"['GO:0007165', 'GO:0009966', 'GO:0010647', 'GO:0023056', 'GO:0048584']"
GO:BP,GO:0033554,cellular response to stress,1.530558299770346e-32,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1830,107,59,21026,0.5514018691588785,0.03224043715846994,query_1,"['GO:0006950', 'GO:0051716']"
GO:BP,GO:0009725,response to hormone,2.188082644122133e-32,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:jl]",907,107,46,21026,0.42990654205607476,0.050716648291069456,query_1,"['GO:0009719', 'GO:0042221']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,2.3723367972330393e-32,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2819,107,69,21026,0.6448598130841121,0.02447676481021639,query_1,['GO:0007165']
GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,2.46417982085801e-32,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]",970,107,47,21026,0.4392523364485981,0.04845360824742268,query_1,['GO:0007166']
KEGG,KEGG:05220,Chronic myeloid leukemia,2.669751670236626e-32,True,Chronic myeloid leukemia,76,104,27,8484,0.25961538461538464,0.35526315789473684,query_1,['KEGG:00000']
KEGG,KEGG:05417,Lipid and atherosclerosis,3.147623187468001e-32,True,Lipid and atherosclerosis,214,104,37,8484,0.3557692307692308,0.17289719626168223,query_1,['KEGG:00000']
GO:BP,GO:0080134,regulation of response to stress,4.296172580688923e-32,True,"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]",1387,107,53,21026,0.4953271028037383,0.03821196827685652,query_1,"['GO:0006950', 'GO:0048583']"
REAC,REAC:R-HSA-449147,Signaling by Interleukins,4.787520391763407e-32,True,Signaling by Interleukins,476,102,45,11004,0.4411764705882353,0.09453781512605042,query_1,['REAC:R-HSA-1280215']
GO:BP,GO:0048513,animal organ development,5.541968717579487e-32,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3085,107,71,21026,0.6635514018691588,0.02301458670988655,query_1,['GO:0048856']
REAC,REAC:R-HSA-162582,Signal Transduction,6.614947213290779e-32,True,Signal Transduction,2558,102,82,11004,0.803921568627451,0.03205629397967162,query_1,['REAC:0000000']
KEGG,KEGG:04933,AGE-RAGE signaling pathway in diabetic complications,6.626411271369397e-32,True,AGE-RAGE signaling pathway in diabetic complications,100,104,29,8484,0.27884615384615385,0.29,query_1,['KEGG:00000']
GO:BP,GO:0048468,cell development,7.856724973217218e-32,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2876,107,69,21026,0.6448598130841121,0.023991655076495134,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0009891,positive regulation of biosynthetic process,1.7880405672599433e-31,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",2696,107,67,21026,0.6261682242990654,0.024851632047477746,query_1,"['GO:0009058', 'GO:0009889', 'GO:0009893']"
GO:BP,GO:0023052,signaling,2.3257814964854146e-31,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6515,107,93,21026,0.8691588785046729,0.014274750575594781,query_1,['GO:0050789']
GO:BP,GO:0051716,cellular response to stimulus,2.502489734802297e-31,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7376,107,97,21026,0.9065420560747663,0.013150759219088938,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0007154,cell communication,3.1307640942004484e-31,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6540,107,93,21026,0.8691588785046729,0.014220183486238533,query_1,['GO:0009987']
GO:BP,GO:0009888,tissue development,3.2719145667596416e-31,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",2032,107,60,21026,0.5607476635514018,0.02952755905511811,query_1,['GO:0048856']
GO:BP,GO:0045935,positive regulation of nucleobase-containing compound metabolic process,3.587226735041323e-31,True,"""Any cellular process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",2036,107,60,21026,0.5607476635514018,0.029469548133595286,query_1,"['GO:0006139', 'GO:0009893', 'GO:0019219']"
GO:BP,GO:0051247,positive regulation of protein metabolic process,4.527639070342755e-31,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving a protein."" [GOC:ai]",1039,107,47,21026,0.4392523364485981,0.04523580365736285,query_1,"['GO:0010604', 'GO:0019538', 'GO:0051246']"
GO:BP,GO:0016310,phosphorylation,6.329364925813975e-31,True,"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]",1320,107,51,21026,0.4766355140186916,0.038636363636363635,query_1,['GO:0006796']
REAC,REAC:R-HSA-1280215,Cytokine Signaling in Immune system,1.1406043373206951e-30,True,Cytokine Signaling in Immune system,780,102,52,11004,0.5098039215686274,0.06666666666666667,query_1,['REAC:R-HSA-168256']
KEGG,KEGG:05212,Pancreatic cancer,1.1858708069966632e-30,True,Pancreatic cancer,76,104,26,8484,0.25,0.34210526315789475,query_1,['KEGG:00000']
GO:BP,GO:0007275,multicellular organism development,1.2407747007556938e-30,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4727,107,82,21026,0.7663551401869159,0.017347154643537126,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0030154,cell differentiation,1.3802452256501635e-30,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4437,107,80,21026,0.7476635514018691,0.01803020058598152,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,1.3803279846666577e-30,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4438,107,80,21026,0.7476635514018691,0.018026137899954935,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:2000026,regulation of multicellular organismal development,1.3964649750450675e-30,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1418,107,52,21026,0.48598130841121495,0.036671368124118475,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0002682,regulation of immune system process,1.7486127727842316e-30,True,"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]",1581,107,54,21026,0.5046728971962616,0.03415559772296015,query_1,"['GO:0002376', 'GO:0050789']"
GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,1.7486127727842316e-30,True,"""Any process that increases the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",2593,107,65,21026,0.6074766355140186,0.025067489394523718,query_1,"['GO:0009059', 'GO:0009891', 'GO:0010556', 'GO:0010604']"
GO:BP,GO:0051240,positive regulation of multicellular organismal process,2.010655978607611e-30,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1667,107,55,21026,0.514018691588785,0.032993401319736056,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0072359,circulatory system development,2.098083048189608e-30,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1145,107,48,21026,0.4485981308411215,0.04192139737991266,query_1,['GO:0048731']
KEGG,KEGG:05205,Proteoglycans in cancer,3.1025499868868032e-30,True,Proteoglycans in cancer,205,104,35,8484,0.33653846153846156,0.17073170731707318,query_1,['KEGG:00000']
GO:BP,GO:0006468,protein phosphorylation,3.4553158834960285e-30,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1227,107,49,21026,0.45794392523364486,0.03993480032599837,query_1,"['GO:0016310', 'GO:0036211']"
REAC,REAC:R-HSA-212436,Generic Transcription Pathway,3.5095933381874454e-30,True,Generic Transcription Pathway,1234,102,61,11004,0.5980392156862745,0.04943273905996758,query_1,['REAC:R-HSA-73857']
KEGG,KEGG:05131,Shigellosis,4.8929603250000325e-30,True,Shigellosis,246,104,37,8484,0.3557692307692308,0.15040650406504066,query_1,['KEGG:00000']
GO:BP,GO:0009894,regulation of catabolic process,6.137334799160138e-30,True,"""Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances."" [GOC:go_curators]",1040,107,46,21026,0.42990654205607476,0.04423076923076923,query_1,"['GO:0009056', 'GO:0019222']"
